,nbateamid,team,season,games,off_rtg,def_rtg,net_rtg,W,L
430,1610612745,HOU,2021,82,108.4,116.7,-8.3,20,62
431,1610612754,IND,2021,82,112.6,116.1,-3.5,25,57
432,1610612746,LAC,2021,82,110.1,110.1,0.0,42,40
433,1610612747,LAL,2021,82,110.3,113.3,-3.0,33,49
434,1610612763,MEM,2021,82,114.6,109.0,5.6,56,26
435,1610612748,MIA,2021,82,113.7,109.1,4.6,53,29
436,1610612749,MIL,2021,82,115.1,111.8,3.3,51,31
437,1610612750,MIN,2021,82,114.3,111.7,2.6,46,36
438,1610612740,NOP,2021,82,112.0,113.0,-1.0,36,46
439,1610612752,NYK,2021,82,110.4,110.5,-0.1,37,45
440,1610612760,OKC,2021,82,104.6,112.8,-8.2,24,58
441,1610612753,ORL,2021,82,104.5,112.5,-8.0,22,60
442,1610612755,PHI,2021,82,113.5,110.8,2.7,51,31
443,1610612756,PHX,2021,82,114.8,107.3,7.5,64,18
444,1610612757,POR,2021,82,107.8,116.9,-9.1,27,55
445,1610612758,SAC,2021,82,109.9,115.3,-5.4,30,52
446,1610612759,SAS,2021,82,112.4,112.3,0.1,34,48
447,1610612761,TOR,2021,82,112.9,110.5,2.4,48,34
448,1610612762,UTA,2021,82,116.7,110.5,6.2,49,33
449,1610612764,WAS,2021,82,111.1,114.5,-3.4,35,47
